home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,6,37,1342,1,441,900,684130
True,True,0.1,6,38,1342,1,441,900,702620
True,True,0.1,6,39,1342,1,441,900,721110
True,True,0.1,6,40,1342,1,441,900,739600
True,True,0.1,6,41,1342,1,441,900,758090
True,True,0.1,6,42,1342,1,441,900,776580
True,True,0.1,6,43,1342,1,441,900,795070
True,True,0.1,6,44,1342,1,441,900,813560
True,True,0.1,6,45,1342,1,441,900,832050
True,True,0.1,6,46,1342,1,441,900,850540
True,True,0.1,6,47,1342,1,441,900,869030
True,True,0.1,6,48,1342,1,441,900,887520
True,True,0.1,6,49,1342,1,441,900,906010
True,True,0.1,6,50,1342,1,441,900,924500
True,True,0.1,6,51,1342,1,441,900,942990
True,True,0.1,6,52,1342,1,441,900,961480
True,True,0.1,6,53,1342,1,441,900,979970
True,True,0.1,6,54,1342,1,441,900,998460
True,True,0.1,6,55,1342,1,441,900,1016950
True,True,0.1,6,56,1342,1,441,900,1035440
True,True,0.1,6,57,1342,1,441,900,1053930
True,True,0.1,6,58,1342,1,441,900,1072420
True,True,0.1,6,59,1342,1,441,900,1090910
True,True,0.1,6,60,1342,1,441,900,1109400
True,True,0.1,7,1,886,1,295,590,18490
True,True,0.1,7,2,886,1,295,590,36980
True,True,0.1,7,3,886,1,295,590,55470
True,True,0.1,7,4,886,1,295,590,73960
True,True,0.1,7,5,954,1,306,647,92450
True,True,0.1,7,6,1006,1,328,677,110940
True,True,0.1,7,7,1047,1,338,708,129430
True,True,0.1,7,8,1096,1,357,738,147920
True,True,0.1,7,9,1148,1,379,768,166410
True,True,0.1,7,10,1190,1,396,793,184900
True,True,0.1,7,11,1245,1,417,827,203390
True,True,0.1,7,12,1250,1,419,830,221880
True,True,0.1,7,13,1253,1,420,832,240370
True,True,0.1,7,14,1263,1,422,840,258860
True,True,0.1,7,15,1267,1,425,841,277350
True,True,0.1,7,16,1277,1,430,846,295840
True,True,0.1,7,17,1283,1,432,850,314330
True,True,0.1,7,18,1287,1,433,853,332820
True,True,0.1,7,19,1293,1,436,856,351310
True,True,0.1,7,20,1295,1,437,857,369800
True,True,0.1,7,21,1297,1,437,859,388290
True,True,0.1,7,22,1297,1,437,859,406780
True,True,0.1,7,23,1297,1,437,859,425270
True,True,0.1,7,24,1297,1,437,859,443760
True,True,0.1,7,25,1297,1,437,859,462250
True,True,0.1,7,26,1297,1,437,859,480740
True,True,0.1,7,27,1297,1,437,859,499230
True,True,0.1,7,28,1297,1,437,859,517720
True,True,0.1,7,29,1297,1,437,859,536210
True,True,0.1,7,30,1297,1,437,859,554700
True,True,0.1,7,31,1297,1,437,859,573190
True,True,0.1,7,32,1297,1,437,859,591680
True,True,0.1,7,33,1297,1,437,859,610170
True,True,0.1,7,34,1297,1,437,859,628660
True,True,0.1,7,35,1297,1,437,859,647150
True,True,0.1,7,36,1297,1,437,859,665640
True,True,0.1,7,37,1297,1,437,859,684130
True,True,0.1,7,38,1297,1,437,859,702620
True,True,0.1,7,39,1297,1,437,859,721110
True,True,0.1,7,40,1297,1,437,859,739600
True,True,0.1,7,41,1297,1,437,859,758090
True,True,0.1,7,42,1297,1,437,859,776580
True,True,0.1,7,43,1297,1,437,859,795070
True,True,0.1,7,44,1297,1,437,859,813560
True,True,0.1,7,45,1297,1,437,859,832050
True,True,0.1,7,46,1297,1,437,859,850540
True,True,0.1,7,47,1297,1,437,859,869030
True,True,0.1,7,48,1297,1,437,859,887520
True,True,0.1,7,49,1297,1,437,859,906010
True,True,0.1,7,50,1297,1,437,859,924500
True,True,0.1,7,51,1297,1,437,859,942990
True,True,0.1,7,52,1297,1,437,859,961480
True,True,0.1,7,53,1297,1,437,859,979970
True,True,0.1,7,54,1297,1,437,859,998460
True,True,0.1,7,55,1297,1,437,859,1016950
True,True,0.1,7,56,1297,1,437,859,1035440
True,True,0.1,7,57,1297,1,437,859,1053930
True,True,0.1,7,58,1297,1,437,859,1072420
True,True,0.1,7,59,1297,1,437,859,1090910
True,True,0.1,7,60,1297,1,437,859,1109400
True,True,0.1,8,1,930,1,326,603,18490
True,True,0.1,8,2,930,1,326,603,36980
True,True,0.1,8,3,930,1,326,603,55470
True,True,0.1,8,4,930,1,326,603,73960
True,True,0.1,8,5,985,1,339,645,92450
True,True,0.1,8,6,1058,1,358,699,110940
True,True,0.1,8,7,1114,1,381,732,129430
True,True,0.1,8,8,1164,1,401,762,147920
True,True,0.1,8,9,1207,1,420,786,166410
True,True,0.1,8,10,1253,2,439,812,184900
True,True,0.1,8,11,1314,2,456,856,203390
True,True,0.1,8,12,1315,2,457,856,221880
True,True,0.1,8,13,1326,2,460,864,240370
True,True,0.1,8,14,1334,2,460,872,258860
True,True,0.1,8,15,1338,2,460,876,277350
True,True,0.1,8,16,1350,2,464,884,295840
True,True,0.1,8,17,1354,2,466,886,314330
True,True,0.1,8,18,1359,2,466,891,332820
True,True,0.1,8,19,1365,2,468,895,351310
True,True,0.1,8,20,1373,3,470,900,369800
True,True,0.1,8,21,1374,3,471,900,388290
True,True,0.1,8,22,1374,3,471,900,406780
True,True,0.1,8,23,1374,3,471,900,425270
True,True,0.1,8,24,1374,3,471,900,443760
True,True,0.1,8,25,1375,4,471,900,462250
True,True,0.1,8,26,1375,4,471,900,480740
True,True,0.1,8,27,1375,4,471,900,499230
True,True,0.1,8,28,1375,4,471,900,517720
True,True,0.1,8,29,1375,4,471,900,536210
True,True,0.1,8,30,1376,4,472,900,554700
True,True,0.1,8,31,1376,4,472,900,573190
True,True,0.1,8,32,1376,4,472,900,591680
True,True,0.1,8,33,1376,4,472,900,610170
True,True,0.1,8,34,1376,4,472,900,628660
True,True,0.1,8,35,1376,4,472,900,647150
True,True,0.1,8,36,1376,4,472,900,665640
True,True,0.1,8,37,1376,4,472,900,684130
True,True,0.1,8,38,1376,4,472,900,702620
