home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
False,False,1.0,18,6000,388,20,3,12000,804,18020,1195,1086000
False,False,1.0,19,6000,420,20,0,12000,904,18020,1324,1086000
False,False,1.0,20,6000,434,20,0,12000,912,18020,1346,1086000
False,False,1.0,21,6000,410,20,1,12000,874,18020,1285,1086000
False,False,1.0,22,6000,496,20,1,12000,941,18020,1438,1086000
False,False,1.0,23,6000,428,20,1,12000,913,18020,1342,1086000
False,False,1.0,24,6000,450,20,0,12000,884,18020,1334,1086000
False,False,1.0,25,6000,460,20,0,12000,936,18020,1396,1086000
False,False,1.0,26,6000,421,20,1,12000,843,18020,1265,1086000
False,False,1.0,27,6000,437,20,0,12000,858,18020,1295,1086000
False,False,1.0,28,6000,425,20,1,12000,870,18020,1296,1086000
False,False,1.0,29,6000,438,20,0,12000,867,18020,1305,1086000
False,False,1.0,30,6000,415,20,1,12000,887,18020,1303,1086000
False,False,1.0,31,6000,425,20,1,12000,879,18020,1305,1086000
False,False,1.0,32,6000,409,20,0,12000,844,18020,1253,1086000
False,False,1.0,33,6000,420,20,4,12000,872,18020,1296,1086000
False,False,1.0,34,6000,429,20,1,12000,930,18020,1360,1086000
False,False,1.0,35,6000,425,20,0,12000,836,18020,1261,1086000
False,False,1.0,36,6000,410,20,1,12000,828,18020,1239,1086000
False,False,1.0,37,6000,422,20,2,12000,904,18020,1328,1086000
False,False,1.0,38,6000,412,20,2,12000,869,18020,1283,1086000
False,False,1.0,39,6000,428,20,2,12000,905,18020,1335,1086000
False,False,1.0,40,6000,460,20,0,12000,900,18020,1360,1086000
False,False,1.0,41,6000,481,20,1,12000,887,18020,1369,1086000
False,False,1.0,42,6000,456,20,0,12000,898,18020,1354,1086000
False,False,1.0,43,6000,433,20,0,12000,940,18020,1373,1086000
False,False,1.0,44,6000,461,20,1,12000,850,18020,1312,1086000
False,False,1.0,45,6000,420,20,1,12000,873,18020,1294,1086000
False,False,1.0,46,6000,423,20,1,12000,896,18020,1320,1086000
False,False,1.0,47,6000,415,20,3,12000,849,18020,1267,1086000
False,False,1.0,48,6000,447,20,1,12000,921,18020,1369,1086000
False,False,1.0,49,6000,434,20,0,12000,935,18020,1369,1086000
False,False,1.0,50,6000,429,20,2,12000,851,18020,1282,1086000
