appointment_type,clinicians_meet_each_other,behavioural_infectivity_multiple_if_symptomatic,p_baseline_infected,p_external_infection_per_day,n_patients_per_household,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts,n_clinician_patient_contacts
home_visit,True,1.0,0.01,0.0,5,7,6000,2320,20,2,8151,3625,14171,5947,4918202,6000
home_visit,True,1.0,0.01,0.0,6,7,6000,4532,20,8,8226,6821,14246,11361,5991063,6000
home_visit,True,1.0,0.01,0.0,7,7,6000,5464,20,6,8159,8279,14179,13749,6943133,6000
home_visit,True,1.0,0.01,0.0,8,7,6000,6674,20,7,8331,10519,14351,17201,8161299,6000
home_visit,True,1.0,0.01,0.0,9,7,6000,8347,20,4,8331,12669,14351,21020,9204350,6000
home_visit,True,1.0,0.01,0.0,10,7,6000,10128,20,7,8183,14232,14203,24370,10032961,6000
home_visit,False,1.0,0.01,0.0,1,7,6000,117,20,0,8104,220,14124,337,829024,6000
home_visit,False,1.0,0.01,0.0,2,7,6000,398,20,0,8331,703,14351,1101,1905342,6000
home_visit,False,1.0,0.01,0.0,3,7,6000,816,20,1,8217,1563,14237,2380,2895711,6000
home_visit,False,1.0,0.01,0.0,4,7,6000,1784,20,0,8331,2943,14351,4727,3981924,6000
home_visit,False,1.0,0.01,0.0,5,7,6000,2318,20,1,8183,3711,14203,6030,4912975,6000
home_visit,False,1.0,0.01,0.0,6,7,6000,4165,20,4,8331,6315,14351,10484,6068166,6000
home_visit,False,1.0,0.01,0.0,7,7,6000,5440,20,5,8226,8642,14246,14087,7009476,6000
home_visit,False,1.0,0.01,0.0,8,7,6000,6712,20,4,8124,10271,14144,16987,7932972,6000
home_visit,False,1.0,0.01,0.0,9,7,6000,8822,20,4,8183,12639,14203,21465,8999748,6000
home_visit,False,1.0,0.01,0.0,10,7,6000,9628,20,3,8183,14493,14203,24125,10022210,6000
home_visit,True,1.0,0.01,0.0,1,8,6000,126,20,2,8159,215,14179,343,852586,6000
home_visit,True,1.0,0.01,0.0,2,8,6000,298,20,0,8183,600,14203,898,1879786,6000
home_visit,True,1.0,0.01,0.0,3,8,6000,887,20,0,8226,1618,14246,2505,2916978,6000
home_visit,True,1.0,0.01,0.0,4,8,6000,1600,20,2,8183,2582,14203,4184,3923470,6000
home_visit,True,1.0,0.01,0.0,5,8,6000,2220,20,6,8159,3212,14179,5438,4914370,6000
home_visit,True,1.0,0.01,0.0,6,8,6000,4449,20,2,8159,6743,14179,11194,5919390,6000
home_visit,True,1.0,0.01,0.0,7,8,6000,5761,20,7,8217,8690,14237,14459,7025423,6000
home_visit,True,1.0,0.01,0.0,8,8,6000,8399,20,3,8217,13374,14237,21776,8068570,6000
home_visit,True,1.0,0.01,0.0,9,8,6000,7558,20,4,8082,10863,14102,18425,8890864,6000
home_visit,True,1.0,0.01,0.0,10,8,6000,11526,20,12,8159,16806,14179,28347,10000550,6000
home_visit,False,1.0,0.01,0.0,1,8,6000,122,20,0,8226,261,14246,383,858366,6000
home_visit,False,1.0,0.01,0.0,2,8,6000,398,20,1,8159,816,14179,1215,1854298,6000
home_visit,False,1.0,0.01,0.0,3,8,6000,787,20,0,8217,1361,14237,2148,2895711,6000
home_visit,False,1.0,0.01,0.0,4,8,6000,1606,20,0,8226,2854,14246,4460,3942384,6000
home_visit,False,1.0,0.01,0.0,5,8,6000,2264,20,3,8159,3673,14179,5940,4903495,6000
home_visit,False,1.0,0.01,0.0,6,8,6000,3787,20,3,8226,5933,14246,9723,5980296,6000
home_visit,False,1.0,0.01,0.0,7,8,6000,5185,20,6,8124,7625,14144,12816,6908550,6000
home_visit,False,1.0,0.01,0.0,8,8,6000,6806,20,3,8124,10177,14144,16986,7932972,6000
home_visit,False,1.0,0.01,0.0,9,8,6000,7975,20,4,8217,11685,14237,19664,9048708,6000
home_visit,False,1.0,0.01,0.0,10,8,6000,11402,20,3,8124,16544,14144,27949,9943380,6000
home_visit,True,1.0,0.01,0.0,1,9,6000,130,20,0,8226,277,14246,407,869766,6000
home_visit,True,1.0,0.01,0.0,2,9,6000,348,20,0,8130,678,14150,1026,1863420,6000
home_visit,True,1.0,0.01,0.0,3,9,6000,980,20,0,8217,1811,14237,2791,2907111,6000
home_visit,True,1.0,0.01,0.0,4,9,6000,1672,20,3,8262,2779,14282,4454,3956000,6000
home_visit,True,1.0,0.01,0.0,5,9,6000,2840,20,3,8217,4716,14237,7559,4971272,6000
home_visit,True,1.0,0.01,0.0,6,9,6000,3747,20,1,8082,5821,14102,9569,5875212,6000
home_visit,True,1.0,0.01,0.0,7,9,6000,5858,20,1,8226,9067,14246,14926,7020876,6000
home_visit,True,1.0,0.01,0.0,8,9,6000,6298,20,2,8124,9499,14144,15799,7944112,6000
home_visit,True,1.0,0.01,0.0,9,9,6000,8454,20,6,8082,12589,14102,21050,8890611,6000
home_visit,True,1.0,0.01,0.0,10,9,6000,12355,20,7,8405,18882,14425,31245,10348758,6000
home_visit,False,1.0,0.01,0.0,1,9,6000,101,20,0,8124,214,14144,315,836004,6000
home_visit,False,1.0,0.01,0.0,2,9,6000,349,20,0,8124,689,14144,1038,1851768,6000
home_visit,False,1.0,0.01,0.0,3,9,6000,903,20,1,8082,1542,14102,2446,2845386,6000
home_visit,False,1.0,0.01,0.0,4,9,6000,1725,20,1,8130,2883,14150,4609,3893340,6000
home_visit,False,1.0,0.01,0.0,5,9,6000,2637,20,1,8082,4043,14102,6681,4864530,6000
home_visit,False,1.0,0.01,0.0,6,9,6000,4255,20,2,8217,6862,14237,11119,5993742,6000
home_visit,False,1.0,0.01,0.0,7,9,6000,5821,20,5,8082,8632,14102,14458,6865170,6000
home_visit,False,1.0,0.01,0.0,8,9,6000,7191,20,8,8130,10667,14150,17867,7950120,6000
home_visit,False,1.0,0.01,0.0,9,9,6000,9107,20,5,8082,12993,14102,22106,8879730,6000
home_visit,False,1.0,0.01,0.0,10,9,6000,12253,20,4,8262,18357,14282,30615,10137480,6000
home_visit,True,1.0,0.01,0.0,1,10,6000,105,20,1,8130,195,14150,301,851537,6000
home_visit,True,1.0,0.01,0.0,2,10,6000,369,20,2,8130,669,14150,1040,1863156,6000
home_visit,True,1.0,0.01,0.0,3,10,6000,907,20,1,8262,1602,14282,2510,2932506,6000
home_visit,True,1.0,0.01,0.0,4,10,6000,1374,20,0,8124,2416,14144,3790,3898956,6000
